frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
1,0.042,0,0.0,0.0,0.0,0.0,Green
1,0.042,1,0.0,0.0,0.0,0.0,Green
1,0.042,2,0.0,0.0,0.0,0.0,Green
1,0.042,3,0.0,0.0,0.0,0.0,Green
1,0.042,4,0.0,0.0,0.0,0.0,Green
1,0.042,5,1.0,0.0,0.0,0.0,Green
1,0.042,6,0.0,0.0,0.0,0.0,Green
1,0.042,7,0.0,0.0,0.0,0.0,Green
1,0.042,8,0.0,0.0,0.0,0.0,Green
1,0.042,9,0.0,0.0,0.0,0.0,Green
1,0.042,10,0.0,0.0,0.0,0.0,Green
1,0.042,11,0.0,0.0,0.0,0.0,Green
1,0.042,12,0.0,0.0,0.0,0.0,Green
1,0.042,13,0.0,0.0,0.0,0.0,Green
1,0.042,14,0.0,0.0,0.0,0.0,Green
1,0.042,15,0.0,0.0,0.0,0.0,Green
2,0.083,0,19.0,0.0,0.0,0.0,Green
2,0.083,1,24.0,0.0,0.0,0.0,Green
2,0.083,2,5.0,0.0,0.0,0.0,Green
2,0.083,3,6.0,0.0,0.0,0.0,Green
2,0.083,4,10.0,0.0,0.0,0.0,Green
2,0.083,5,10.0,0.0,0.0,0.0,Green
2,0.083,6,5.0,0.0,0.0,0.0,Green
2,0.083,7,6.0,0.0,0.0,0.0,Green
2,0.083,8,1.0,0.0,0.0,0.0,Green
2,0.083,9,3.0,0.0,0.0,0.0,Green
2,0.083,10,9.0,0.0,0.0,0.0,Green
2,0.083,11,2.0,0.0,0.0,0.0,Green
2,0.083,12,5.0,0.0,0.0,0.0,Green
2,0.083,13,7.0,0.0,0.0,0.0,Green
2,0.083,14,2.0,0.0,0.0,0.0,Green
2,0.083,15,2.0,0.0,0.0,0.0,Green
3,0.125,0,7.0,-31.0,0.0,0.0,Green
3,0.125,1,25.0,-23.0,0.0,0.0,Green
3,0.125,2,4.0,-6.0,0.0,0.0,Green
3,0.125,3,5.0,-7.0,0.0,0.0,Green
3,0.125,4,9.0,-11.0,0.0,0.0,Green
3,0.125,5,13.0,-6.0,0.0,0.0,Green
3,0.125,6,6.0,-4.0,0.0,0.0,Green
3,0.125,7,19.0,7.0,0.0,0.0,Green
3,0.125,8,22.0,20.0,0.0,0.0,Green
3,0.125,9,12.0,6.0,0.0,0.0,Green
3,0.125,10,12.0,-6.0,0.0,0.0,Green
3,0.125,11,2.0,-2.0,0.0,0.0,Green
3,0.125,12,10.0,0.0,0.0,0.0,Green
3,0.125,13,2.0,-12.0,0.0,0.0,Green
3,0.125,14,2.0,-2.0,0.0,0.0,Green
3,0.125,15,5.0,1.0,0.0,0.0,Green
4,0.167,0,28.0,33.0,0.0,0.0,Green
4,0.167,1,31.0,5.0,0.0,0.0,Green
4,0.167,2,8.0,5.0,0.0,0.0,Green
4,0.167,3,9.0,5.0,0.0,0.0,Green
4,0.167,4,15.0,7.0,0.0,0.0,Green
4,0.167,5,19.0,3.0,0.0,0.0,Green
4,0.167,6,2.0,-5.0,0.0,0.0,Green
4,0.167,7,18.0,-14.0,0.0,0.0,Green
4,0.167,8,31.0,-12.0,0.0,0.0,Green
4,0.167,9,6.0,-15.0,0.0,0.0,Green
4,0.167,10,12.0,-3.0,0.0,0.0,Green
4,0.167,11,7.0,5.0,0.0,0.0,Green
4,0.167,12,8.0,-7.0,0.0,0.0,Green
4,0.167,13,4.0,7.0,0.0,0.0,Green
4,0.167,14,2.0,0.0,0.0,0.0,Green
4,0.167,15,5.0,-3.0,0.0,0.0,Green
5,0.209,0,22.0,-27.0,0.0,0.0,Green
5,0.209,1,26.0,-11.0,0.0,0.0,Green
5,0.209,2,9.0,-3.0,0.0,0.0,Green
5,0.209,3,12.0,-1.0,0.0,0.0,Green
5,0.209,4,15.0,-6.0,0.0,0.0,Green
5,0.209,5,22.0,-3.0,0.0,0.0,Green
5,0.209,6,9.0,11.0,0.0,0.0,Green
5,0.209,7,17.0,0.0,0.0,0.0,Green
5,0.209,8,10.0,-30.0,0.0,0.0,Green
5,0.209,9,6.0,6.0,0.0,0.0,Green
5,0.209,10,9.0,-3.0,0.0,0.0,Green
5,0.209,11,8.0,-4.0,0.0,0.0,Green
5,0.209,12,7.0,1.0,0.0,0.0,Green
5,0.209,13,7.0,1.0,0.0,0.0,Green
5,0.209,14,2.0,0.0,0.0,0.0,Green
5,0.209,15,2.0,-3.0,0.0,0.0,Green
6,0.250,0,10.0,-6.0,0.0,0.0,Green
6,0.250,1,18.0,-3.0,0.0,0.0,Green
6,0.250,2,8.0,-2.0,0.0,0.0,Green
6,0.250,3,13.0,-2.0,0.0,0.0,Green
6,0.250,4,18.0,3.0,0.0,0.0,Green
6,0.250,5,16.0,-9.0,0.0,0.0,Green
6,0.250,6,9.0,-7.0,0.0,0.0,Green
6,0.250,7,18.0,2.0,0.0,0.0,Green
6,0.250,8,9.0,20.0,0.0,0.0,Green
6,0.250,9,5.0,-1.0,0.0,0.0,Green
6,0.250,10,10.0,4.0,0.0,0.0,Green
6,0.250,11,12.0,3.0,0.0,0.0,Green
6,0.250,12,6.0,0.0,0.0,0.0,Green
6,0.250,13,6.0,-4.0,0.0,0.0,Green
6,0.250,14,1.0,-1.0,0.0,0.0,Green
6,0.250,15,4.0,5.0,0.0,0.0,Green
7,0.292,0,15.0,17.0,0.0,0.0,Green
7,0.292,1,19.0,9.0,0.0,0.0,Green
7,0.292,2,6.0,-1.0,0.0,0.0,Green
7,0.292,3,11.0,-3.0,0.0,0.0,Green
