frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
1,0.033,0,0.0,0.0,0.0,0.0,Green
1,0.033,1,0.0,0.0,0.0,0.0,Green
1,0.033,2,0.0,0.0,0.0,0.0,Green
1,0.033,3,0.0,0.0,0.0,0.0,Green
1,0.033,4,0.0,0.0,0.0,0.0,Green
1,0.033,5,1.0,0.0,0.0,0.0,Green
1,0.033,6,0.0,0.0,0.0,0.0,Green
1,0.033,7,0.0,0.0,0.0,0.0,Green
1,0.033,8,0.0,0.0,0.0,0.0,Green
1,0.033,9,0.0,0.0,0.0,0.0,Green
1,0.033,10,0.0,0.0,0.0,0.0,Green
1,0.033,11,0.0,0.0,0.0,0.0,Green
1,0.033,12,0.0,0.0,0.0,0.0,Green
1,0.033,13,0.0,0.0,0.0,0.0,Green
1,0.033,14,0.0,0.0,0.0,0.0,Green
1,0.033,15,0.0,0.0,0.0,0.0,Green
2,0.067,0,0.0,0.0,0.0,0.0,Green
2,0.067,1,0.0,0.0,0.0,0.0,Green
2,0.067,2,0.0,0.0,0.0,0.0,Green
2,0.067,3,0.0,0.0,0.0,0.0,Green
2,0.067,4,0.0,0.0,0.0,0.0,Green
2,0.067,5,5.0,0.0,0.0,0.0,Green
2,0.067,6,1.0,0.0,0.0,0.0,Green
2,0.067,7,3.0,0.0,0.0,0.0,Green
2,0.067,8,6.0,0.0,0.0,0.0,Green
2,0.067,9,1.0,0.0,0.0,0.0,Green
2,0.067,10,4.0,0.0,0.0,0.0,Green
2,0.067,11,5.0,0.0,0.0,0.0,Green
2,0.067,12,4.0,0.0,0.0,0.0,Green
2,0.067,13,3.0,0.0,0.0,0.0,Green
2,0.067,14,1.0,0.0,0.0,0.0,Green
2,0.067,15,2.0,0.0,0.0,0.0,Green
3,0.100,0,0.0,0.0,0.0,0.0,Green
3,0.100,1,2.0,2.0,0.0,0.0,Green
3,0.100,2,0.0,0.0,0.0,0.0,Green
3,0.100,3,0.0,0.0,0.0,0.0,Green
3,0.100,4,1.0,1.0,0.0,0.0,Green
3,0.100,5,5.0,-4.0,0.0,0.0,Green
3,0.100,6,1.0,-1.0,0.0,0.0,Green
3,0.100,7,6.0,0.0,0.0,0.0,Green
3,0.100,8,2.0,-10.0,0.0,0.0,Green
3,0.100,9,0.0,-2.0,0.0,0.0,Green
3,0.100,10,2.0,-6.0,0.0,0.0,Green
3,0.100,11,5.0,-5.0,0.0,0.0,Green
3,0.100,12,4.0,-4.0,0.0,0.0,Green
3,0.100,13,4.0,-2.0,0.0,0.0,Green
3,0.100,14,2.0,0.0,0.0,0.0,Green
3,0.100,15,2.0,-2.0,0.0,0.0,Green
4,0.133,0,0.0,0.0,0.0,0.0,Green
4,0.133,1,0.0,-4.0,0.0,0.0,Green
4,0.133,2,0.0,0.0,0.0,0.0,Green
4,0.133,3,0.0,0.0,0.0,0.0,Green
4,0.133,4,0.0,-2.0,0.0,0.0,Green
4,0.133,5,4.0,-1.0,0.0,0.0,Green
4,0.133,6,0.0,-1.0,0.0,0.0,Green
4,0.133,7,4.0,-5.0,0.0,0.0,Green
4,0.133,8,2.0,4.0,0.0,0.0,Green
4,0.133,9,0.0,1.0,0.0,0.0,Green
4,0.133,10,2.0,2.0,0.0,0.0,Green
4,0.133,11,5.0,0.0,0.0,0.0,Green
4,0.133,12,3.0,-1.0,0.0,0.0,Green
4,0.133,13,6.0,1.0,0.0,0.0,Green
4,0.133,14,3.0,0.0,0.0,0.0,Green
4,0.133,15,6.0,4.0,0.0,0.0,Green
5,0.167,0,0.0,0.0,0.0,0.0,Green
5,0.167,1,0.0,2.0,0.0,0.0,Green
5,0.167,2,0.0,0.0,0.0,0.0,Green
5,0.167,3,0.0,0.0,0.0,0.0,Green
5,0.167,4,0.0,1.0,0.0,0.0,Green
5,0.167,5,3.0,0.0,0.0,0.0,Green
5,0.167,6,1.0,2.0,0.0,0.0,Green
5,0.167,7,4.0,2.0,0.0,0.0,Green
5,0.167,8,1.0,-1.0,0.0,0.0,Green
5,0.167,9,5.0,5.0,0.0,0.0,Green
5,0.167,10,2.0,0.0,0.0,0.0,Green
5,0.167,11,6.0,1.0,0.0,0.0,Green
5,0.167,12,5.0,3.0,0.0,0.0,Green
5,0.167,13,3.0,-5.0,0.0,0.0,Green
5,0.167,14,2.0,-2.0,0.0,0.0,Green
5,0.167,15,6.0,-4.0,0.0,0.0,Green
6,0.200,0,0.0,0.0,0.0,0.0,Green
6,0.200,1,0.0,0.0,0.0,0.0,Green
6,0.200,2,0.0,0.0,0.0,0.0,Green
6,0.200,3,0.0,0.0,0.0,0.0,Green
6,0.200,4,0.0,0.0,0.0,0.0,Green
6,0.200,5,0.0,-2.0,0.0,0.0,Green
6,0.200,6,3.0,1.0,0.0,0.0,Green
6,0.200,7,5.0,1.0,0.0,0.0,Green
6,0.200,8,1.0,1.0,0.0,0.0,Green
6,0.200,9,2.0,-8.0,0.0,0.0,Green
6,0.200,10,3.0,1.0,0.0,0.0,Green
6,0.200,11,3.0,-4.0,0.0,0.0,Green
6,0.200,12,5.0,-2.0,0.0,0.0,Green
6,0.200,13,6.0,6.0,0.0,0.0,Green
6,0.200,14,6.0,5.0,0.0,0.0,Green
6,0.200,15,6.0,0.0,0.0,0.0,Green
7,0.233,0,0.0,0.0,0.0,0.0,Green
7,0.233,1,0.0,0.0,0.0,0.0,Green
7,0.233,2,0.0,0.0,0.0,0.0,Green
7,0.233,3,0.0,0.0,0.0,0.0,Green
7,0.233,4,0.0,0.0,0.0,0.0,Green
7,0.233,5,4.0,7.0,0.0,0.0,Green
7,0.233,6,1.0,-4.0,0.0,0.0,Green
7,0.233,7,6.0,0.0,0.0,0.0,Green
7,0.233,8,0.0,-1.0,0.0,0.0,Green
7,0.233,9,1.0,2.0,0.0,0.0,Green
7,0.233,10,6.0,2.0,0.0,0.0,Green
7,0.233,11,3.0,3.0,0.0,0.0,Green
7,0.233,12,4.0,-1.0,0.0,0.0,Green
7,0.233,13,6.0,-3.0,0.0,0.0,Green
7,0.233,14,4.0,-6.0,0.0,0.0,Green
7,0.233,15,5.0,-1.0,0.0,0.0,Green
8,0.267,0,0.0,0.0,0.0,0.0,Green
8,0.267,1,0.0,0.0,0.0,0.0,Green
8,0.267,2,0.0,0.0,0.0,0.0,Green
8,0.267,3,0.0,0.0,0.0,0.0,Green
8,0.267,4,0.0,0.0,0.0,0.0,Green
8,0.267,5,0.0,-8.0,0.0,0.0,Green
8,0.267,6,4.0,5.0,0.0,0.0,Green
8,0.267,7,4.0,-3.0,0.0,0.0,Green
8,0.267,8,1.0,2.0,0.0,0.0,Green
8,0.267,9,3.0,3.0,0.0,0.0,Green
8,0.267,10,5.0,-4.0,0.0,0.0,Green
8,0.267,11,2.0,-1.0,0.0,0.0,Green
8,0.267,12,2.0,-1.0,0.0,0.0,Green
8,0.267,13,4.0,-2.0,0.0,0.0,Green
8,0.267,14,9.0,7.0,0.0,0.0,Green
8,0.267,15,5.0,1.0,0.0,0.0,Green
9,0.300,0,0.0,0.0,0.0,0.0,Green
9,0.300,1,0.0,0.0,0.0,0.0,Green
9,0.300,2,0.0,0.0,0.0,0.0,Green
9,0.300,3,0.0,0.0,0.0,0.0,Green
9,0.300,4,2.0,2.0,0.0,0.0,Green
9,0.300,5,1.0,5.0,0.0,0.0,Green
9,0.300,6,5.0,-2.0,0.0,0.0,Green
9,0.300,7,6.0,4.0,0.0,0.0,Green
9,0.300,8,2.0,0.0,0.0,0.0,Green
9,0.300,9,6.0,1.0,0.0,0.0,Green
9,0.300,10,4.0,0.0,0.0,0.0,Green
9,0.300,11,2.0,1.0,0.0,0.0,Green
9,0.300,12,7.0,7.0,0.0,0.0,Green
9,0.300,13,3.0,1.0,0.0,0.0,Green
9,0.300,14,10.0,-4.0,0.0,0.0,Green
9,0.300,15,7.0,2.0,0.0,0.0,Green
10,0.333,0,0.0,0.0,0.0,0.0,Green
10,0.333,1,0.0,0.0,0.0,0.0,Green
10,0.333,2,0.0,0.0,0.0,0.0,Green
10,0.333,3,1.0,1.0,0.0,0.0,Green
10,0.333,4,0.0,-4.0,0.0,0.0,Green
10,0.333,5,0.0,-2.0,0.0,0.0,Green
10,0.333,6,2.0,-4.0,0.0,0.0,Green
10,0.333,7,5.0,-3.0,0.0,0.0,Green
10,0.333,8,0.0,-3.0,0.0,0.0,Green
